Order ID,Date,Product Name,Category,Quantity Sold,Price per Unit,Total Sales,Customer Location,Customer Age,Payment Method
ORD0001,27-01-2024,Headphones,Electronics,1,44.17,44.17,Phoenix,24,Cash
ORD0002,09-03-2024,Table,Furniture,3,307.46,922.38,Chicago,31,Cash
ORD0003,29-02-2024,Sneakers,Clothing,3,163.97,491.91,Philadelphia,20,Credit Card
ORD0004,27-03-2024,Bread,Grocery,5,454.42,2272.1,Chicago,52,UPI
ORD0005,18-03-2024,T-shirt,Clothing,2,18.33,36.66,Phoenix,27,UPI
ORD0006,22-01-2024,Laptop,Electronics,5,382.05,1910.25,Philadelphia,18,Credit Card
ORD0007,11-03-2024,Sneakers,Clothing,1,467.98,467.98,New York,52,Online Transaction
ORD0008,04-02-2024,Headphones,Electronics,4,284.11,1136.44,Houston,35,Online Transaction
ORD0009,04-02-2024,Sneakers,Clothing,2,100.16,200.32,Philadelphia,21,Online Transaction
ORD0010,18-02-2024,Sneakers,Clothing,1,59.4,59.4,Los Angeles,26,Online Transaction
ORD0011,03-03-2024,Laptop,Electronics,3,256.59,769.77,Los Angeles,24,Debit Card
ORD0012,29-01-2024,Jeans,Clothing,1,37.84,37.84,Los Angeles,56,Credit Card
ORD0013,20-01-2024,Laptop,Electronics,5,312.95,1564.75,Chicago,59,Debit Card
ORD0014,30-03-2024,Jeans,Clothing,1,387.59,387.59,Chicago,30,Credit Card
ORD0015,29-02-2024,Milk,Grocery,4,489.19,1956.76,San Antonio,49,Debit Card
ORD0016,09-02-2024,T-shirt,Clothing,5,383.17,1915.85,San Antonio,37,UPI
ORD0017,10-02-2024,Eggs,Grocery,5,318.08,1590.4,Chicago,43,UPI
ORD0018,27-01-2024,Table,Furniture,4,21.93,87.72,New York,33,Cash
ORD0019,15-03-2024,Bread,Grocery,5,244.47,1222.35,San Antonio,37,Debit Card
ORD0020,03-03-2024,Milk,Grocery,3,157.81,473.43,Philadelphia,54,Cash
ORD0021,13-03-2024,Lamp,Furniture,3,373.76,1121.28,Chicago,25,Credit Card
ORD0022,13-03-2024,Smartphone,Electronics,4,223.22,892.88,San Antonio,43,Online Transaction
ORD0023,04-02-2024,Sneakers,Clothing,4,292.55,1170.2,Houston,57,Cash
ORD0024,06-01-2024,T-shirt,Clothing,2,207.79,415.58,Houston,24,Credit Card
ORD0025,18-03-2024,Table,Furniture,5,303.71,1518.55,Houston,33,Credit Card
ORD0026,10-01-2024,Smartphone,Electronics,5,376.85,1884.25,Philadelphia,40,Cash
ORD0027,12-03-2024,Headphones,Electronics,1,11.24,11.24,Houston,30,UPI
ORD0028,09-03-2024,Lamp,Furniture,3,159.54,478.62,Philadelphia,59,Cash
ORD0029,11-01-2024,Smartphone,Electronics,4,87.74,350.96,Los Angeles,29,Online Transaction
ORD0030,15-02-2024,Bread,Grocery,4,322.11,1288.44,Chicago,38,Cash
ORD0031,21-03-2024,Bread,Grocery,5,313.1,1565.5,Los Angeles,24,Cash
ORD0032,11-03-2024,Milk,Grocery,5,345.11,1725.55,Chicago,38,Online Transaction
ORD0033,01-01-2024,Headphones,Electronics,1,188.37,188.37,Los Angeles,59,UPI
ORD0034,10-02-2024,Jeans,Clothing,3,89.15,267.45,San Antonio,34,Online Transaction
ORD0035,12-03-2024,Eggs,Grocery,5,397.56,1987.8,New York,33,Cash
ORD0036,23-03-2024,Headphones,Electronics,2,441.46,882.92,San Antonio,43,Credit Card
ORD0037,23-03-2024,Table,Furniture,1,297.99,297.99,Houston,23,Online Transaction
ORD0038,07-03-2024,Bread,Grocery,4,486.93,1947.72,Houston,30,Cash
ORD0039,04-03-2024,Laptop,Electronics,3,249.53,748.59,New York,31,Debit Card
ORD0040,24-01-2024,Sneakers,Clothing,2,370.87,741.74,Los Angeles,56,Debit Card
ORD0041,27-03-2024,Lamp,Furniture,3,271.49,814.47,Houston,55,UPI
ORD0042,12-02-2024,Lamp,Furniture,4,275.46,1101.84,Chicago,58,Online Transaction
ORD0043,24-01-2024,Table,Furniture,3,425.69,1277.07,Chicago,48,Online Transaction
